stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
wanliu_aq,2018/3/31 9:00,97,166,57,0.9,142,12
beibuxinqu_aq,2018/3/31 9:00,102,,67,0.9,113,10
zhiwuyuan_aq,2018/3/31 9:00,,,,,,
fengtaihuayuan_aq,2018/3/31 9:00,109,169,46,0.8,151,11
yungang_aq,2018/3/31 9:00,112,173,41,0.8,166,13
gucheng_aq,2018/3/31 9:00,245,,50,0.8,155,10
fangshan_aq,2018/3/31 9:00,104,188,45,0.6,167,14
daxing_aq,2018/3/31 9:00,103,192,54,0.8,134,15
yizhuang_aq,2018/3/31 9:00,98,161,47,0.9,159,16
tongzhou_aq,2018/3/31 9:00,107,180,38,0.8,158,16
shunyi_aq,2018/3/31 9:00,99,164,63,1,135,16
pingchang_aq,2018/3/31 9:00,106,154,70,0.8,108,11
mentougou_aq,2018/3/31 9:00,106,174,62,0.8,143,11
pinggu_aq,2018/3/31 9:00,104,157,33,1.1,176,2
huairou_aq,2018/3/31 9:00,97,163,59,0.9,121,14
miyun_aq,2018/3/31 9:00,99,154,44,0.8,171,15
yanqin_aq,2018/3/31 9:00,68,234,36,0.6,116,7
dingling_aq,2018/3/31 9:00,103,159,77,1,112,11
badaling_aq,2018/3/31 9:00,,,,,,
miyunshuiku_aq,2018/3/31 9:00,106,176,39,0.8,181,15
donggaocun_aq,2018/3/31 9:00,112,141,34,1,175,21
yongledian_aq,2018/3/31 9:00,122,193,50,1.4,185,21
yufa_aq,2018/3/31 9:00,142,193,41,0.9,176,18
liulihe_aq,2018/3/31 9:00,121,185,55,0.9,141,
qianmen_aq,2018/3/31 9:00,105,171,57,0.8,142,14
yongdingmennei_aq,2018/3/31 9:00,104,161,60,0.8,152,19
xizhimenbei_aq,2018/3/31 9:00,111,162,83,0.9,115,17
nansanhuan_aq,2018/3/31 9:00,97,148,105,1,94,14
dongsihuan_aq,2018/3/31 9:00,97,135,65,0.9,134,13
dongsi_aq,2018/3/31 10:00,103,197,50,0.8,141,12
tiantan_aq,2018/3/31 10:00,99,154,49,0.9,127,12
guanyuan_aq,2018/3/31 10:00,111,171,55,0.8,147,12
wanshouxigong_aq,2018/3/31 10:00,113,202,57,1,125,12
aotizhongxin_aq,2018/3/31 10:00,127,198,64,0.8,123,12
nongzhanguan_aq,2018/3/31 10:00,108,196,58,0.8,144,13
wanliu_aq,2018/3/31 10:00,102,163,64,1,138,13
beibuxinqu_aq,2018/3/31 10:00,115,,78,0.9,107,9
zhiwuyuan_aq,2018/3/31 10:00,,,,,,
fengtaihuayuan_aq,2018/3/31 10:00,123,193,59,0.9,139,12
yungang_aq,2018/3/31 10:00,116,181,47,0.8,161,14
gucheng_aq,2018/3/31 10:00,139,201,49,0.8,159,10
fangshan_aq,2018/3/31 10:00,117,206,61,0.8,151,14
daxing_aq,2018/3/31 10:00,121,199,52,0.9,142,17
yizhuang_aq,2018/3/31 10:00,108,200,60,0.9,149,18
tongzhou_aq,2018/3/31 10:00,119,203,46,0.9,157,16
shunyi_aq,2018/3/31 10:00,101,170,59,1.1,147,15
pingchang_aq,2018/3/31 10:00,105,168,62,0.8,118,11
mentougou_aq,2018/3/31 10:00,115,189,62,0.9,148,12
pinggu_aq,2018/3/31 10:00,108,177,34,0.8,188,2
huairou_aq,2018/3/31 10:00,103,167,65,1,117,12
miyun_aq,2018/3/31 10:00,92,167,50,0.8,149,13
yanqin_aq,2018/3/31 10:00,84,204,61,0.8,100,9
dingling_aq,2018/3/31 10:00,104,175,80,0.9,106,10
badaling_aq,2018/3/31 10:00,,,,,,
miyunshuiku_aq,2018/3/31 10:00,108,167,41,0.8,168,14
donggaocun_aq,2018/3/31 10:00,124,151,33,0.8,183,18
yongledian_aq,2018/3/31 10:00,156,241,86,3.5,171,30
yufa_aq,2018/3/31 10:00,148,190,46,1,166,19
liulihe_aq,2018/3/31 10:00,137,212,59,1,132,
qianmen_aq,2018/3/31 10:00,120,202,68,0.9,131,16
yongdingmennei_aq,2018/3/31 10:00,122,175,78,0.9,132,20
xizhimenbei_aq,2018/3/31 10:00,117,170,105,1,91,17
nansanhuan_aq,2018/3/31 10:00,117,161,110,1,92,15
dongsihuan_aq,2018/3/31 10:00,103,148,60,0.8,133,12
dongsi_aq,2018/3/31 11:00,128,213,56,0.9,135,14
tiantan_aq,2018/3/31 11:00,115,160,53,0.9,129,12
guanyuan_aq,2018/3/31 11:00,117,180,58,0.8,143,13
wanshouxigong_aq,2018/3/31 11:00,125,206,58,1,120,13
aotizhongxin_aq,2018/3/31 11:00,83,221,69,0.8,118,14
nongzhanguan_aq,2018/3/31 11:00,124,214,68,0.9,129,14
wanliu_aq,2018/3/31 11:00,107,182,71,1,125,13
beibuxinqu_aq,2018/3/31 11:00,112,,56,0.9,125,10
zhiwuyuan_aq,2018/3/31 11:00,,,,,,
fengtaihuayuan_aq,2018/3/31 11:00,132,194,81,0.9,112,13
yungang_aq,2018/3/31 11:00,125,207,60,0.9,133,14
gucheng_aq,2018/3/31 11:00,,219,66,0.9,138,11
fangshan_aq,2018/3/31 11:00,125,224,76,0.8,129,15
daxing_aq,2018/3/31 11:00,121,188,52,0.9,136,18
yizhuang_aq,2018/3/31 11:00,118,187,68,1,135,17
tongzhou_aq,2018/3/31 11:00,133,218,56,0.9,140,18
shunyi_aq,2018/3/31 11:00,100,168,70,1.1,125,14
pingchang_aq,2018/3/31 11:00,104,171,69,0.9,97,10
mentougou_aq,2018/3/31 11:00,126,202,93,1,114,12
pinggu_aq,2018/3/31 11:00,133,172,45,1,163,2
huairou_aq,2018/3/31 11:00,103,175,87,1.2,83,12
miyun_aq,2018/3/31 11:00,74,159,87,0.9,106,13
yanqin_aq,2018/3/31 11:00,123,237,80,0.9,91,11
dingling_aq,2018/3/31 11:00,101,167,72,0.9,94,9
badaling_aq,2018/3/31 11:00,,,,,,
miyunshuiku_aq,2018/3/31 11:00,97,174,43,0.8,157,13
donggaocun_aq,2018/3/31 11:00,143,150,38,0.9,148,16
yongledian_aq,2018/3/31 11:00,241,374,112,2.4,188,32
yufa_aq,2018/3/31 11:00,157,216,51,1,148,19
liulihe_aq,2018/3/31 11:00,146,254,68,1,106,
qianmen_aq,2018/3/31 11:00,136,217,76,1,122,16
yongdingmennei_aq,2018/3/31 11:00,134,172,83,0.9,134,22
xizhimenbei_aq,2018/3/31 11:00,134,185,96,1,101,19
nansanhuan_aq,2018/3/31 11:00,131,196,126,1.1,68,16
dongsihuan_aq,2018/3/31 11:00,120,199,71,0.9,118,14
dongsi_aq,2018/3/31 12:00,133,198,60,1,123,15
tiantan_aq,2018/3/31 12:00,122,152,88,1,77,10
guanyuan_aq,2018/3/31 12:00,126,176,86,1,86,12
wanshouxigong_aq,2018/3/31 12:00,134,205,60,1.1,94,11
aotizhongxin_aq,2018/3/31 12:00,135,200,91,1,79,13
nongzhanguan_aq,2018/3/31 12:00,,9,58,0.9,129,14
wanliu_aq,2018/3/31 12:00,121,173,83,1,90,12
beibuxinqu_aq,2018/3/31 12:00,143,324,75,1.1,74,7
zhiwuyuan_aq,2018/3/31 12:00,,,,,,
fengtaihuayuan_aq,2018/3/31 12:00,138,205,107,1,75,14
yungang_aq,2018/3/31 12:00,138,218,67,0.9,108,15
gucheng_aq,2018/3/31 12:00,17,237,85,1,102,11
fangshan_aq,2018/3/31 12:00,134,246,92,0.9,103,15
daxing_aq,2018/3/31 12:00,137,206,59,1,116,19
yizhuang_aq,2018/3/31 12:00,123,190,88,1.1,102,15
tongzhou_aq,2018/3/31 12:00,148,239,84,1,91,17
shunyi_aq,2018/3/31 12:00,101,177,92,1.2,84,13
pingchang_aq,2018/3/31 12:00,112,177,80,1.1,72,10
mentougou_aq,2018/3/31 12:00,138,207,96,1,90,12
pinggu_aq,2018/3/31 12:00,,,,,,
huairou_aq,2018/3/31 12:00,115,196,86,1.4,63,10
miyun_aq,2018/3/31 12:00,112,187,98,1.1,76,12
yanqin_aq,2018/3/31 12:00,106,208,94,1,67,10
dingling_aq,2018/3/31 12:00,96,158,60,0.9,83,7
badaling_aq,2018/3/31 12:00,,,,,,
miyunshuiku_aq,2018/3/31 12:00,102,165,38,0.9,150,14
donggaocun_aq,2018/3/31 12:00,145,149,38,0.9,133,15
yongledian_aq,2018/3/31 12:00,286,378,92,2,181,29
yufa_aq,2018/3/31 12:00,167,226,50,1.1,135,19
liulihe_aq,2018/3/31 12:00,270,323,59,1.1,96,20
qianmen_aq,2018/3/31 12:00,151,200,101,1.2,84,16
yongdingmennei_aq,2018/3/31 12:00,141,173,146,1.1,55,21
xizhimenbei_aq,2018/3/31 12:00,151,192,125,1.2,56,18
nansanhuan_aq,2018/3/31 12:00,142,222,157,1.2,38,17
dongsihuan_aq,2018/3/31 12:00,137,203,83,1,97,14
dongsi_aq,2018/3/31 13:00,156,209,88,1.3,80,14
tiantan_aq,2018/3/31 13:00,101,140,60,1,54,5
guanyuan_aq,2018/3/31 13:00,132,181,121,1.3,35,10
wanshouxigong_aq,2018/3/31 13:00,153,199,78,1.5,51,9
aotizhongxin_aq,2018/3/31 13:00,132,239,160,1.2,4,12
nongzhanguan_aq,2018/3/31 13:00,95,138,103,1.3,66,13
wanliu_aq,2018/3/31 13:00,131,208,155,1.5,9,10
beibuxinqu_aq,2018/3/31 13:00,123,666,104,1.1,23,4
zhiwuyuan_aq,2018/3/31 13:00,,,,,,
fengtaihuayuan_aq,2018/3/31 13:00,149,204,114,1.2,54,13
yungang_aq,2018/3/31 13:00,146,220,56,1,110,16
gucheng_aq,2018/3/31 13:00,165,248,116,1.3,57,10
fangshan_aq,2018/3/31 13:00,140,246,144,1.1,46,14
daxing_aq,2018/3/31 13:00,149,225,95,1.2,69,16
yizhuang_aq,2018/3/31 13:00,130,209,143,1.3,39,13
tongzhou_aq,2018/3/31 13:00,163,252,135,1.3,33,43
shunyi_aq,2018/3/31 13:00,120,197,114,1.3,63,14
pingchang_aq,2018/3/31 13:00,110,170,65,1,65,8
mentougou_aq,2018/3/31 13:00,137,206,104,1.1,60,10
pinggu_aq,2018/3/31 13:00,,,,,,
huairou_aq,2018/3/31 13:00,114,180,74,1.3,61,9
miyun_aq,2018/3/31 13:00,106,190,126,1.3,39,12
yanqin_aq,2018/3/31 13:00,106,212,101,1,53,10
dingling_aq,2018/3/31 13:00,100,151,54,0.9,77,7
badaling_aq,2018/3/31 13:00,,,,,,
miyunshuiku_aq,2018/3/31 13:00,102,172,32,0.9,146,12
donggaocun_aq,2018/3/31 13:00,149,,34,0.9,132,15
yongledian_aq,2018/3/31 13:00,257,314,78,1.9,158,20
yufa_aq,2018/3/31 13:00,189,249,55,1.2,116,19
liulihe_aq,2018/3/31 13:00,160,297,85,1.1,46,8
qianmen_aq,2018/3/31 13:00,165,229,146,1.6,27,16
yongdingmennei_aq,2018/3/31 13:00,156,190,171,1.4,3,17
xizhimenbei_aq,2018/3/31 13:00,161,192,145,1.4,24,17
nansanhuan_aq,2018/3/31 13:00,155,246,183,1.8,2,19
dongsihuan_aq,2018/3/31 13:00,143,208,129,1.3,29,12
dongsi_aq,2018/3/31 14:00,167,229,119,1.6,38,13
tiantan_aq,2018/3/31 14:00,120,140,83,1.1,28,4
guanyuan_aq,2018/3/31 14:00,140,186,144,1.6,6,9
wanshouxigong_aq,2018/3/31 14:00,154,199,119,1.6,7,7
aotizhongxin_aq,2018/3/31 14:00,158,214,153,1.4,8,12
nongzhanguan_aq,2018/3/31 14:00,,,,,,
wanliu_aq,2018/3/31 14:00,129,201,146,1.5,9,9
beibuxinqu_aq,2018/3/31 14:00,260,,137,1.2,2,6
zhiwuyuan_aq,2018/3/31 14:00,,,,,,
fengtaihuayuan_aq,2018/3/31 14:00,165,225,176,1.6,3,12
yungang_aq,2018/3/31 14:00,150,206,58,1,97,16
gucheng_aq,2018/3/31 14:00,,,,,,
fangshan_aq,2018/3/31 14:00,157,255,158,1.3,22,13
daxing_aq,2018/3/31 14:00,156,243,149,1.5,11,13
yizhuang_aq,2018/3/31 14:00,134,201,152,1.5,22,11
tongzhou_aq,2018/3/31 14:00,173,317,157,1.3,9,18
shunyi_aq,2018/3/31 14:00,137,196,104,1.4,64,15
pingchang_aq,2018/3/31 14:00,100,153,57,0.9,66,8
mentougou_aq,2018/3/31 14:00,133,205,102,1.1,42,8
pinggu_aq,2018/3/31 14:00,144,151,52,1.4,88,2
huairou_aq,2018/3/31 14:00,113,169,66,1.3,69,7
miyun_aq,2018/3/31 14:00,126,207,154,1.4,2,9
yanqin_aq,2018/3/31 14:00,110,214,110,1,35,9
dingling_aq,2018/3/31 14:00,101,150,51,0.9,65,6
badaling_aq,2018/3/31 14:00,,,,,,
miyunshuiku_aq,2018/3/31 14:00,110,153,34,0.9,130,11
donggaocun_aq,2018/3/31 14:00,144,,34,0.9,124,14
yongledian_aq,2018/3/31 14:00,253,333,203,1.9,36,17
yufa_aq,2018/3/31 14:00,218,255,55,1.4,87,13
liulihe_aq,2018/3/31 14:00,180,280,76,1.1,45,
qianmen_aq,2018/3/31 14:00,186,249,170,2.1,5,15
yongdingmennei_aq,2018/3/31 14:00,162,218,180,1.9,2,14
xizhimenbei_aq,2018/3/31 14:00,177,209,167,1.8,2,15
nansanhuan_aq,2018/3/31 14:00,166,272,181,1.9,2,17
dongsihuan_aq,2018/3/31 14:00,152,208,165,1.6,2,14
dongsi_aq,2018/3/31 15:00,178,233,140,1.8,15,12
tiantan_aq,2018/3/31 15:00,133,140,113,1.3,2,2
guanyuan_aq,2018/3/31 15:00,139,191,151,2.1,2,8
wanshouxigong_aq,2018/3/31 15:00,162,197,135,1.8,2,6
aotizhongxin_aq,2018/3/31 15:00,118,255,174,1.7,2,10
nongzhanguan_aq,2018/3/31 15:00,148,200,161,1.7,2,10
wanliu_aq,2018/3/31 15:00,128,182,146,1.5,3,8
beibuxinqu_aq,2018/3/31 15:00,174,,121,1.3,2,4
zhiwuyuan_aq,2018/3/31 15:00,,,,,,
fengtaihuayuan_aq,2018/3/31 15:00,158,256,178,1.9,3,12
yungang_aq,2018/3/31 15:00,152,202,53,1,95,18
gucheng_aq,2018/3/31 15:00,168,320,164,1.4,2,7
fangshan_aq,2018/3/31 15:00,160,289,172,1.4,2,11
daxing_aq,2018/3/31 15:00,166,251,159,1.7,2,11
yizhuang_aq,2018/3/31 15:00,137,192,166,1.6,5,9
tongzhou_aq,2018/3/31 15:00,197,355,139,1.3,19,18
shunyi_aq,2018/3/31 15:00,150,194,72,1.3,80,15
pingchang_aq,2018/3/31 15:00,103,141,52,0.9,62,8
mentougou_aq,2018/3/31 15:00,121,175,88,1,47,7
pinggu_aq,2018/3/31 15:00,158,,49,1.4,85,2
huairou_aq,2018/3/31 15:00,108,139,41,1.1,68,7
miyun_aq,2018/3/31 15:00,114,196,132,1.1,3,7
yanqin_aq,2018/3/31 15:00,121,307,118,1.1,12,8
dingling_aq,2018/3/31 15:00,101,138,44,0.9,64,6
badaling_aq,2018/3/31 15:00,,,,,,
miyunshuiku_aq,2018/3/31 15:00,98,146,36,0.9,98,7
donggaocun_aq,2018/3/31 15:00,156,,33,0.9,121,14
yongledian_aq,2018/3/31 15:00,273,352,210,2.1,4,12
yufa_aq,2018/3/31 15:00,227,268,76,1.6,47,11
liulihe_aq,2018/3/31 15:00,136,204,61,1.1,50,
qianmen_aq,2018/3/31 15:00,192,247,172,2.1,4,15
yongdingmennei_aq,2018/3/31 15:00,161,224,180,2.1,2,12
xizhimenbei_aq,2018/3/31 15:00,183,229,165,2.2,2,17
nansanhuan_aq,2018/3/31 15:00,190,279,180,2.2,2,18
dongsihuan_aq,2018/3/31 15:00,154,221,158,1.8,2,13
dongsi_aq,2018/3/31 17:00,193,257,161,2.6,2,9
tiantan_aq,2018/3/31 17:00,138,155,132,1.5,2,2
guanyuan_aq,2018/3/31 17:00,135,198,147,1.9,2,6
wanshouxigong_aq,2018/3/31 17:00,156,197,137,2.1,2,5
aotizhongxin_aq,2018/3/31 17:00,134,218,158,1.4,2,11
nongzhanguan_aq,2018/3/31 17:00,150,233,167,1.7,2,9
wanliu_aq,2018/3/31 17:00,119,183,139,1.6,2,6
beibuxinqu_aq,2018/3/31 17:00,160,,114,1.3,2,4
zhiwuyuan_aq,2018/3/31 17:00,,,,,,
fengtaihuayuan_aq,2018/3/31 17:00,176,320,187,1.7,3,13
yungang_aq,2018/3/31 17:00,125,177,84,0.9,47,10
gucheng_aq,2018/3/31 17:00,162,427,145,1.1,2,5
fangshan_aq,2018/3/31 17:00,143,351,144,0.9,2,10
daxing_aq,2018/3/31 17:00,168,267,158,2,2,8
yizhuang_aq,2018/3/31 17:00,144,219,179,1.8,2,6
tongzhou_aq,2018/3/31 17:00,202,279,143,1.3,7,15
shunyi_aq,2018/3/31 17:00,157,188,104,1.4,38,13
pingchang_aq,2018/3/31 17:00,103,164,37,0.8,67,7
mentougou_aq,2018/3/31 17:00,100,141,65,0.8,56,6
pinggu_aq,2018/3/31 17:00,125,,35,1.3,84,2
huairou_aq,2018/3/31 17:00,102,123,36,1,62,6
miyun_aq,2018/3/31 17:00,94,138,93,1.1,30,5
yanqin_aq,2018/3/31 17:00,113,188,93,1.2,9,7
dingling_aq,2018/3/31 17:00,94,128,37,0.9,61,5
badaling_aq,2018/3/31 17:00,,,,,,
miyunshuiku_aq,2018/3/31 17:00,96,130,30,0.9,95,7
donggaocun_aq,2018/3/31 17:00,167,,35,1,108,16
yongledian_aq,2018/3/31 17:00,263,315,176,2,2,4
yufa_aq,2018/3/31 17:00,214,239,135,1.5,2,8
liulihe_aq,2018/3/31 17:00,149,219,87,1.2,7,
qianmen_aq,2018/3/31 17:00,172,253,163,2.6,3,13
yongdingmennei_aq,2018/3/31 17:00,154,175,146,1.8,2,9
xizhimenbei_aq,2018/3/31 17:00,171,244,164,1.9,2,14
nansanhuan_aq,2018/3/31 17:00,190,373,177,2.6,2,24
dongsihuan_aq,2018/3/31 17:00,165,275,175,1.9,2,20
dongsi_aq,2018/3/31 18:00,163,256,162,2.1,2,9
tiantan_aq,2018/3/31 18:00,144,159,126,1.7,2,2
guanyuan_aq,2018/3/31 18:00,136,196,146,1.4,2,6
wanshouxigong_aq,2018/3/31 18:00,160,201,132,2.2,2,5
aotizhongxin_aq,2018/3/31 18:00,123,210,148,1.2,2,11
nongzhanguan_aq,2018/3/31 18:00,153,236,169,1.9,2,9
wanliu_aq,2018/3/31 18:00,115,150,127,1.2,2,7
beibuxinqu_aq,2018/3/31 18:00,168,,118,1.2,2,3
zhiwuyuan_aq,2018/3/31 18:00,,,,,,
fengtaihuayuan_aq,2018/3/31 18:00,165,323,178,1.6,2,12
yungang_aq,2018/3/31 18:00,117,161,81,0.9,38,7
gucheng_aq,2018/3/31 18:00,134,294,134,1.1,2,4
fangshan_aq,2018/3/31 18:00,125,292,134,0.8,2,10
daxing_aq,2018/3/31 18:00,167,260,146,1.8,2,6
yizhuang_aq,2018/3/31 18:00,144,235,179,1.8,2,7
tongzhou_aq,2018/3/31 18:00,211,344,156,1.3,2,14
shunyi_aq,2018/3/31 18:00,137,177,110,1.4,26,12
pingchang_aq,2018/3/31 18:00,101,155,36,0.8,65,7
mentougou_aq,2018/3/31 18:00,107,146,80,0.9,36,6
pinggu_aq,2018/3/31 18:00,122,,31,1.3,83,2
huairou_aq,2018/3/31 18:00,98,121,30,1,65,5
miyun_aq,2018/3/31 18:00,96,123,80,1,30,4
yanqin_aq,2018/3/31 18:00,110,153,81,1.2,7,4
dingling_aq,2018/3/31 18:00,99,134,36,0.9,58,5
badaling_aq,2018/3/31 18:00,,,,,,
miyunshuiku_aq,2018/3/31 18:00,94,113,28,0.9,88,5
donggaocun_aq,2018/3/31 18:00,170,,41,1.1,86,16
yongledian_aq,2018/3/31 18:00,262,327,178,2.1,2,5
yufa_aq,2018/3/31 18:00,212,238,120,1.5,2,7
liulihe_aq,2018/3/31 18:00,136,216,84,1.3,2,
qianmen_aq,2018/3/31 18:00,164,223,160,2.7,2,11
yongdingmennei_aq,2018/3/31 18:00,161,171,141,2,2,10
xizhimenbei_aq,2018/3/31 18:00,156,238,157,1.6,2,14
nansanhuan_aq,2018/3/31 18:00,184,377,169,2.3,2,26
dongsihuan_aq,2018/3/31 18:00,175,341,180,2.1,2,27
dongsi_aq,2018/3/31 19:00,170,261,160,1.9,2,10
tiantan_aq,2018/3/31 19:00,150,182,129,1.9,2,3
guanyuan_aq,2018/3/31 19:00,115,188,139,1.3,2,5
wanshouxigong_aq,2018/3/31 19:00,132,165,133,1.5,2,5
aotizhongxin_aq,2018/3/31 19:00,132,205,138,1.2,2,10
nongzhanguan_aq,2018/3/31 19:00,161,280,174,2.1,2,9
wanliu_aq,2018/3/31 19:00,109,164,116,1.1,2,5
beibuxinqu_aq,2018/3/31 19:00,154,,101,1.2,2,3
zhiwuyuan_aq,2018/3/31 19:00,,,,,,
fengtaihuayuan_aq,2018/3/31 19:00,145,263,151,1.3,2,10
yungang_aq,2018/3/31 19:00,107,161,73,0.8,37,6
gucheng_aq,2018/3/31 19:00,127,272,128,1,2,4
fangshan_aq,2018/3/31 19:00,126,285,132,0.9,2,9
daxing_aq,2018/3/31 19:00,163,331,158,1.6,2,8
yizhuang_aq,2018/3/31 19:00,158,251,187,1.9,2,9
tongzhou_aq,2018/3/31 19:00,213,367,141,1.4,2,11
shunyi_aq,2018/3/31 19:00,131,161,125,1.4,10,10
pingchang_aq,2018/3/31 19:00,102,135,36,0.8,65,7
mentougou_aq,2018/3/31 19:00,97,138,79,0.8,34,5
pinggu_aq,2018/3/31 19:00,117,128,31,1.2,79,2
huairou_aq,2018/3/31 19:00,101,118,30,1,61,5
miyun_aq,2018/3/31 19:00,90,119,58,1,43,3
yanqin_aq,2018/3/31 19:00,95,148,64,1,14,3
dingling_aq,2018/3/31 19:00,101,135,34,0.9,61,5
badaling_aq,2018/3/31 19:00,,,,,,
miyunshuiku_aq,2018/3/31 19:00,98,112,26,0.9,97,6
donggaocun_aq,2018/3/31 19:00,180,,52,1.1,65,15
yongledian_aq,2018/3/31 19:00,260,309,147,2.1,2,2
yufa_aq,2018/3/31 19:00,218,240,153,1.4,2,9
liulihe_aq,2018/3/31 19:00,131,211,82,1.2,2,
qianmen_aq,2018/3/31 19:00,148,198,151,1.6,2,10
yongdingmennei_aq,2018/3/31 19:00,152,187,154,1.8,2,9
xizhimenbei_aq,2018/3/31 19:00,149,223,148,1.5,2,14
nansanhuan_aq,2018/3/31 19:00,165,338,159,2,2,15
dongsihuan_aq,2018/3/31 19:00,181,351,184,2,2,29
dongsi_aq,2018/3/31 20:00,156,253,154,1.5,2,11
tiantan_aq,2018/3/31 20:00,136,170,119,1.6,2,2
