Station_ID,MeasurementDateGMT,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),,
LH0,2017/1/7 16:00,6.3,9.6,64.6,,
LH0,2017/1/7 17:00,7.7,10.9,61.9,,
LH0,2017/1/7 18:00,8.5,11.2,64,,
LH0,2017/1/7 19:00,9.7,12,56.1,,
LH0,2017/1/7 20:00,10.5,12.9,56.5,,
LH0,2017/1/7 21:00,13.8,17,44.7,,
LH0,2017/1/7 22:00,15.4,18.8,41.9,,
LH0,2017/1/7 23:00,16.4,20.2,42,,
LH0,2017/1/8 0:00,15.1,19.2,41.9,,
LH0,2017/1/8 1:00,15.1,19,35,,
LH0,2017/1/8 2:00,14.5,18,35.9,,
LH0,2017/1/8 3:00,13.7,17.3,35.6,,
LH0,2017/1/8 4:00,14.4,18.1,36.8,,
LH0,2017/1/8 5:00,15.9,19.3,34.6,,
LH0,2017/1/8 6:00,15.3,18,35.7,,
LH0,2017/1/8 7:00,15.6,18.6,39.6,,
LH0,2017/1/8 8:00,15.7,19.2,45.8,,
LH0,2017/1/8 9:00,15.2,19.1,55.5,,
LH0,2017/1/8 10:00,14,16.9,47.3,,
LH0,2017/1/8 11:00,11.3,13.9,49.9,,
LH0,2017/1/8 12:00,4.9,6.2,54.5,,
LH0,2017/1/8 13:00,4.9,6.3,55.4,,
LH0,2017/1/8 14:00,4.1,5.4,37.5,,
LH0,2017/1/8 15:00,5.4,6.9,47.5,,
LH0,2017/1/8 16:00,7.3,9.4,62.1,,
LH0,2017/1/8 17:00,9,11.5,70.5,,
LH0,2017/1/8 18:00,11.8,15.1,70.2,,
LH0,2017/1/8 19:00,16.2,19,60,,
LH0,2017/1/8 20:00,18,20.8,58.7,,
LH0,2017/1/8 21:00,16.2,18,51.5,,
LH0,2017/1/8 22:00,11.3,12.8,47.2,,
LH0,2017/1/8 23:00,12.7,14.8,40,,
LH0,2017/1/9 0:00,12.2,13.9,23.6,,
LH0,2017/1/9 1:00,13.8,16.1,22.1,,
LH0,2017/1/9 2:00,14.7,17.3,17.6,,
LH0,2017/1/9 3:00,15.9,18.8,17.6,,
LH0,2017/1/9 4:00,14.2,17.1,19,,
LH0,2017/1/9 5:00,9.3,11,31.3,,
LH0,2017/1/9 6:00,6.9,8.3,39.5,,
LH0,2017/1/9 7:00,6.3,8.3,54.4,,
LH0,2017/1/9 8:00,5.6,7.7,55.4,,
LH0,2017/1/9 9:00,4.9,6.6,51.7,,
LH0,2017/1/9 10:00,3.5,5.5,41,,
LH0,2017/1/9 11:00,4.8,7.2,43.5,,
LH0,2017/1/9 12:00,6.6,9.6,47.8,,
LH0,2017/1/9 13:00,6,9.2,43.7,,
LH0,2017/1/9 14:00,5.8,8.2,44.3,,
LH0,2017/1/9 15:00,4.3,6.3,47.4,,
LH0,2017/1/9 16:00,3.1,4.3,45.2,,
LH0,2017/1/9 17:00,3,5.1,45.2,,
LH0,2017/1/9 18:00,3.6,7,37.2,,
LH0,2017/1/9 19:00,5.3,10.2,55.4,,
LH0,2017/1/9 20:00,5.1,8.8,41.1,,
LH0,2017/1/9 21:00,5.7,9.2,42.5,,
LH0,2017/1/9 22:00,5.9,9.1,39.2,,
LH0,2017/1/9 23:00,6.4,9.8,23.9,,
LH0,2017/1/10 0:00,6.5,9.8,19.5,,
LH0,2017/1/10 1:00,6.7,9.8,17.7,,
LH0,2017/1/10 2:00,6,9,16.1,,
LH0,2017/1/10 3:00,4.8,8,13.6,,
LH0,2017/1/10 4:00,4.2,6.9,17.3,,
LH0,2017/1/10 5:00,4.2,7.1,23.7,,
LH0,2017/1/10 6:00,4.5,7.8,41.2,,
LH0,2017/1/10 7:00,5.2,9,46.1,,
LH0,2017/1/10 8:00,5.4,9.6,47.1,,
LH0,2017/1/10 9:00,6,11,38.8,,
LH0,2017/1/10 10:00,8.4,13.1,34.8,,
LH0,2017/1/10 11:00,5.9,10.7,30.7,,
LH0,2017/1/10 12:00,6.5,11.9,28.7,,
LH0,2017/1/10 13:00,8.6,14.5,27.4,,
LH0,2017/1/10 14:00,11.6,21,28.9,,
LH0,2017/1/10 15:00,11.8,23.4,39.6,,
LH0,2017/1/10 16:00,10.5,20.2,42.3,,
LH0,2017/1/10 17:00,11.7,21,56.2,,
LH0,2017/1/10 18:00,10.8,18.4,66,,
LH0,2017/1/10 19:00,10.2,15.6,69.5,,
LH0,2017/1/10 20:00,10.1,13.6,68.4,,
LH0,2017/1/10 21:00,9.5,11.4,57.5,,
LH0,2017/1/10 22:00,10.6,12.4,52.5,,
LH0,2017/1/10 23:00,12.2,14.9,45.3,,
LH0,2017/1/11 0:00,10.4,12.9,29.9,,
LH0,2017/1/11 1:00,10.1,12.2,24.6,,
LH0,2017/1/11 2:00,12.1,15.2,19.4,,
LH0,2017/1/11 3:00,12.6,16.2,16.7,,
LH0,2017/1/11 4:00,11.1,14.9,15.5,,
LH0,2017/1/11 5:00,8.7,12,19.8,,
LH0,2017/1/11 6:00,6.7,8.6,23.4,,
LH0,2017/1/11 7:00,4.6,6.6,27.2,,
LH0,2017/1/11 8:00,3.3,5.4,42.6,,
LH0,2017/1/11 9:00,2.7,4.5,30.9,,
LH0,2017/1/11 10:00,6.7,12.2,23,,
LH0,2017/1/11 11:00,10.4,20.1,19.5,,
LH0,2017/1/11 12:00,8.9,18.8,22.1,,
LH0,2017/1/11 13:00,7.1,17.4,20.5,,
LH0,2017/1/11 14:00,7.2,16.2,21.4,,
LH0,2017/1/11 15:00,8.5,20.9,26.1,,
LH0,2017/1/11 16:00,9.7,22.8,25.3,,
LH0,2017/1/11 17:00,9.9,20.2,29.3,,
LH0,2017/1/11 18:00,10.2,19.4,36.8,,
LH0,2017/1/11 19:00,9.7,16.1,34.7,,
LH0,2017/1/11 20:00,8.6,14.7,36.4,,
LH0,2017/1/11 21:00,7.8,13.4,22.2,,
LH0,2017/1/11 22:00,7.5,13.5,31,,
LH0,2017/1/11 23:00,7.6,12.1,19.2,,
LH0,2017/1/12 0:00,7.1,11.5,13.1,,
LH0,2017/1/12 1:00,6.1,10.1,7.1,,
LH0,2017/1/12 2:00,5.6,9.2,5.5,,
LH0,2017/1/12 3:00,6.3,11.2,6.5,,
LH0,2017/1/12 4:00,7.1,13.3,14.3,,
LH0,2017/1/12 5:00,7.7,14.6,20.2,,
LH0,2017/1/12 6:00,7.5,13.7,41,,
LH0,2017/1/12 7:00,7.1,12.8,52.3,,
LH0,2017/1/12 8:00,7.3,15.2,54.8,,
LH0,2017/1/12 9:00,7.5,14.4,58.3,,
LH0,2017/1/12 10:00,9.6,15.7,58.4,,
LH0,2017/1/12 11:00,8.3,13.4,53.1,,
LH0,2017/1/12 12:00,7.1,11.1,51.8,,
LH0,2017/1/12 13:00,4.5,6.8,49.1,,
LH0,2017/1/12 14:00,4.1,5.7,61.8,,
LH0,2017/1/12 15:00,3.3,4.5,44.7,,
LH0,2017/1/12 16:00,1.7,2.8,48.9,,
LH0,2017/1/12 17:00,1.9,2.6,42,,
LH0,2017/1/12 18:00,1.9,2.6,34.8,,
LH0,2017/1/12 19:00,3.5,4.7,32.4,,
LH0,2017/1/12 20:00,7.3,9.5,30.6,,
LH0,2017/1/12 21:00,6.2,8.2,28.7,,
LH0,2017/1/12 22:00,3.8,5.8,17.2,,
LH0,2017/1/12 23:00,3.3,5,18,,
LH0,2017/1/13 0:00,2.9,5.1,15.7,,
LH0,2017/1/13 1:00,2.5,4.2,12.2,,
LH0,2017/1/13 2:00,2.4,4.1,11.2,,
LH0,2017/1/13 3:00,2.6,4.5,13.1,,
LH0,2017/1/13 4:00,2.4,4,9.6,,
LH0,2017/1/13 5:00,2.4,3.5,14.9,,
LH0,2017/1/13 6:00,2.4,3.8,27.5,,
LH0,2017/1/13 7:00,1.6,3.4,32.2,,
LH0,2017/1/13 8:00,1.5,3.2,26.7,,
LH0,2017/1/13 9:00,2.5,5.4,21,,
LH0,2017/1/13 10:00,3.4,6.8,21.4,,
LH0,2017/1/13 11:00,5,9.3,25.4,,
LH0,2017/1/13 12:00,6.6,14.7,19.5,,
LH0,2017/1/13 13:00,7.1,17.6,19.6,,
LH0,2017/1/13 14:00,6.6,17.6,24,,
LH0,2017/1/13 15:00,7.5,17.9,30.2,,
LH0,2017/1/13 16:00,5.8,13.3,28.1,,
LH0,2017/1/13 17:00,5.2,9.5,35.4,,
LH0,2017/1/13 18:00,5.4,9.6,42.2,,
LH0,2017/1/13 19:00,5.2,9.2,32.9,,
LH0,2017/1/13 20:00,5.5,9.9,37.2,,
LH0,2017/1/13 21:00,6,10.8,41.1,,
LH0,2017/1/13 22:00,5.2,9.5,26.8,,
LH0,2017/1/13 23:00,4.4,9.2,28,,
LH0,2017/1/14 0:00,3.9,8.4,35.5,,
LH0,2017/1/14 1:00,3.7,7.5,11.8,,
LH0,2017/1/14 2:00,2.8,5.1,7.6,,
LH0,2017/1/14 3:00,2.7,4.7,11.1,,
LH0,2017/1/14 4:00,3,5.3,19.7,,
LH0,2017/1/14 5:00,3,5.3,16,,
LH0,2017/1/14 6:00,3,5.7,28.5,,
LH0,2017/1/14 7:00,2.8,4.9,34.2,,
LH0,2017/1/14 8:00,3,5,34.8,,
LH0,2017/1/14 9:00,3.9,8.5,50.3,,
LH0,2017/1/14 10:00,3.7,6,36.4,,
LH0,2017/1/14 11:00,4.9,7.3,27,,
LH0,2017/1/14 12:00,3.8,6.8,33.5,,
LH0,2017/1/14 13:00,4.6,10.6,40.1,,
LH0,2017/1/14 14:00,4.5,8.1,35.9,,
LH0,2017/1/14 15:00,4.1,6.3,41.5,,
LH0,2017/1/14 16:00,6.3,9.9,62.9,,
LH0,2017/1/14 17:00,7.9,11.4,72.2,,
LH0,2017/1/14 18:00,12.7,16.1,82.5,,
LH0,2017/1/14 19:00,12.3,15.3,76.5,,
LH0,2017/1/14 20:00,11.2,14.2,83.1,,
LH0,2017/1/14 21:00,12.7,15.7,76.2,,
LH0,2017/1/14 22:00,9.6,11.9,67.1,,
LH0,2017/1/14 23:00,9.2,11.7,61.2,,
LH0,2017/1/15 0:00,10.7,13,57.6,,
LH0,2017/1/15 1:00,12.3,13.8,54.8,,
LH0,2017/1/15 2:00,12.7,14.5,53.2,,
LH0,2017/1/15 3:00,8.3,9.6,47.6,,
LH0,2017/1/15 4:00,7.5,10.2,37.4,,
LH0,2017/1/15 5:00,8.6,11,46.3,,
LH0,2017/1/15 6:00,7.3,10.6,53.6,,
LH0,2017/1/15 7:00,5.8,8.5,64.8,,
LH0,2017/1/15 8:00,5.7,8,60.3,,
LH0,2017/1/15 9:00,5.1,7.1,66.3,,
LH0,2017/1/15 10:00,3.5,4.9,31.4,,
LH0,2017/1/15 11:00,3,4.6,29,,
LH0,2017/1/15 12:00,2.4,4.8,34.1,,
LH0,2017/1/15 13:00,2.1,4,31.2,,
LH0,2017/1/15 14:00,2.5,5,43.8,,
LH0,2017/1/15 15:00,1.6,3.3,39.2,,
LH0,2017/1/15 16:00,1.8,4.1,37.6,,
LH0,2017/1/15 17:00,2.3,4,38.4,,
LH0,2017/1/15 18:00,4.7,6.9,41.3,,
LH0,2017/1/15 19:00,6.2,9.6,39.1,,
LH0,2017/1/15 20:00,6.9,11.6,53.4,,
LH0,2017/1/15 21:00,8.9,13.2,61.7,,
LH0,2017/1/15 22:00,9.5,13.1,57.3,,
LH0,2017/1/15 23:00,8.4,11.2,42.7,,
LH0,2017/1/16 0:00,7.9,10,32.7,,
LH0,2017/1/16 1:00,7.7,9.6,16.5,,
LH0,2017/1/16 2:00,7.3,8.6,12.6,,
LH0,2017/1/16 3:00,8.3,9.4,19.9,,
LH0,2017/1/16 4:00,10.8,12.1,26.1,,
LH0,2017/1/16 5:00,11.7,13.6,40.5,,
LH0,2017/1/16 6:00,11.4,13.1,40.1,,
LH0,2017/1/16 7:00,10,11.3,44.5,,
LH0,2017/1/16 8:00,9.6,11,48.6,,
LH0,2017/1/16 9:00,9,9.9,51.4,,
LH0,2017/1/16 10:00,9.8,12.1,50,,
LH0,2017/1/16 11:00,6.3,7.4,39.1,,
LH0,2017/1/16 12:00,7.1,8.5,41.9,,
LH0,2017/1/16 13:00,7,8.6,42.2,,
LH0,2017/1/16 14:00,6.6,8.2,45.3,,
LH0,2017/1/16 15:00,6.9,8.8,44.9,,
LH0,2017/1/16 16:00,6.4,8.5,58.3,,
LH0,2017/1/16 17:00,7.4,9.6,66,,
LH0,2017/1/16 18:00,9.1,11.3,63.5,,
LH0,2017/1/16 19:00,10.1,12.6,62.4,,
LH0,2017/1/16 20:00,12.7,15.5,66.2,,
LH0,2017/1/16 21:00,13.2,16.2,70.1,,
LH0,2017/1/16 22:00,13.5,16.1,66.9,,
LH0,2017/1/16 23:00,14.2,17.1,68.8,,
LH0,2017/1/17 0:00,15.2,18.1,67.6,,
LH0,2017/1/17 1:00,14.3,17.2,68.6,,
LH0,2017/1/17 2:00,12.2,14.9,67.1,,
LH0,2017/1/17 3:00,10.5,12.3,54.4,,
LH0,2017/1/17 4:00,10.1,12.1,56.3,,
LH0,2017/1/17 5:00,10.1,12,55.3,,
LH0,2017/1/17 6:00,9.9,11.6,61.9,,
LH0,2017/1/17 7:00,11.5,13.4,65.7,,
LH0,2017/1/17 8:00,13.9,16.6,82.3,,
LH0,2017/1/17 9:00,18.5,21.6,72.6,,
LH0,2017/1/17 10:00,29.2,34,54.1,,
LH0,2017/1/17 11:00,,,49.9,,
LH0,2017/1/17 12:00,23,28.9,50.9,,
LH0,2017/1/17 13:00,19.4,25,45.1,,
LH0,2017/1/17 14:00,17.4,22.7,41.8,,
LH0,2017/1/17 15:00,18.7,24.2,54.9,,
LH0,2017/1/17 16:00,20,27.4,70.2,,
LH0,2017/1/17 17:00,18.2,31.9,90,,
LH0,2017/1/17 18:00,20.3,38.2,104.2,,
LH0,2017/1/17 19:00,24,33.9,99.2,,
LH0,2017/1/17 20:00,30.8,40.5,95.9,,
LH0,2017/1/17 21:00,32,38.8,89.3,,
LH0,2017/1/17 22:00,30.6,36.5,73.4,,
LH0,2017/1/17 23:00,30.4,35.6,67.2,,
LH0,2017/1/18 0:00,31.4,35.9,66.7,,
LH0,2017/1/18 1:00,30.6,35.7,72.2,,
LH0,2017/1/18 2:00,30.9,36,68.6,,
LH0,2017/1/18 3:00,29.9,35.7,57.9,,
LH0,2017/1/18 4:00,30.8,38.9,65.4,,
LH0,2017/1/18 5:00,31.2,36.5,68.1,,
LH0,2017/1/18 6:00,33.2,40.4,95,,
LH0,2017/1/18 7:00,35.1,47.3,117.4,,
LH0,2017/1/18 8:00,38.9,55.3,152.6,,
LH0,2017/1/18 9:00,37,47.9,123.5,,
LH0,2017/1/18 10:00,28.3,35.2,97,,
LH0,2017/1/18 11:00,21.1,31.2,92.5,,
LH0,2017/1/18 12:00,12.9,25.3,81.2,,
LH0,2017/1/18 13:00,8.3,17.9,57.9,,
LH0,2017/1/18 14:00,10.9,22.7,66.9,,
LH0,2017/1/18 15:00,16.2,37.5,89.2,,
LH0,2017/1/18 16:00,24.2,63.2,103,,
LH0,2017/1/18 17:00,24.5,58.8,107.6,,
LH0,2017/1/18 18:00,26,65.1,117.3,,
LH0,2017/1/18 19:00,39.6,84.3,139.2,,
LH0,2017/1/18 20:00,39.7,80.7,160.1,,
LH0,2017/1/18 21:00,39.9,75.1,159.9,,
LH0,2017/1/18 22:00,37.9,64.3,132.5,,
LH0,2017/1/18 23:00,34,56,111.6,,
LH0,2017/1/19 0:00,28.9,39.7,88.2,,
LH0,2017/1/19 1:00,27.7,34.4,78.9,,
LH0,2017/1/19 2:00,29.6,39.6,78.4,,
LH0,2017/1/19 3:00,31.7,39.9,73.7,,
LH0,2017/1/19 4:00,32.1,38.6,73.9,,
LH0,2017/1/19 5:00,31,36.9,68.9,,
LH0,2017/1/19 6:00,28.7,35.5,87.8,,
LH0,2017/1/19 7:00,27.3,31.9,80.8,,
LH0,2017/1/19 8:00,26.2,31.3,83.9,,
LH0,2017/1/19 9:00,25.5,31.5,73.9,,
LH0,2017/1/19 10:00,29.6,40.8,72.3,,
LH0,2017/1/19 11:00,28.3,45.8,64.8,,
LH0,2017/1/19 12:00,19.5,36.6,53.4,,
LH0,2017/1/19 13:00,18.9,34.2,56.8,,
LH0,2017/1/19 14:00,22.9,40.2,64.4,,
LH0,2017/1/19 15:00,34.1,57.3,73.5,,
LH0,2017/1/19 16:00,99,135.1,80.9,,
LH0,2017/1/19 17:00,52,75.7,86.8,,
LH0,2017/1/19 18:00,54.1,69.9,84.2,,
LH0,2017/1/19 19:00,55.6,70.5,90.6,,
LH0,2017/1/19 20:00,30.8,39.3,91.9,,
LH0,2017/1/19 21:00,31.4,37.2,80.3,,
LH0,2017/1/19 22:00,27.7,32.3,77.2,,
LH0,2017/1/19 23:00,25.2,29.9,72.2,,
LH0,2017/1/20 0:00,22.3,26,66.4,,
LH0,2017/1/20 1:00,21.4,24.2,60,,
LH0,2017/1/20 2:00,21.7,25.6,58.4,,
LH0,2017/1/20 3:00,19.7,23.3,57.6,,
LH0,2017/1/20 4:00,18,20.8,59.4,,
LH0,2017/1/20 5:00,17.7,21.1,62.8,,
LH0,2017/1/20 6:00,18.3,22.3,70.3,,
LH0,2017/1/20 7:00,19,22.7,73.5,,
LH0,2017/1/20 8:00,19.7,25.4,75.9,,
LH0,2017/1/20 9:00,24.5,34.3,76.2,,
LH0,2017/1/20 10:00,26.3,37.1,70,,
LH0,2017/1/20 11:00,24.7,44.9,65.4,,
LH0,2017/1/20 12:00,19.4,38.5,59.2,,
LH0,2017/1/20 13:00,17.6,37.7,58.9,,
LH0,2017/1/20 14:00,14.9,35.7,58.3,,
LH0,2017/1/20 15:00,14.6,39.6,68.2,,
LH0,2017/1/20 16:00,12.8,37,77.3,,
LH0,2017/1/20 17:00,10.9,36.1,84.8,,
LH0,2017/1/20 18:00,12.8,35.2,91.6,,
LH0,2017/1/20 19:00,13.2,30.2,90.5,,
LH0,2017/1/20 20:00,13.1,26.2,86.5,,
LH0,2017/1/20 21:00,12,19,83.9,,
LH0,2017/1/20 22:00,13.1,18.4,79.9,,
LH0,2017/1/20 23:00,13.1,18,71.5,,
LH0,2017/1/21 0:00,13.2,17.7,66.9,,
LH0,2017/1/21 1:00,14.1,19.8,60.2,,
LH0,2017/1/21 2:00,14.1,19.5,62.5,,
LH0,2017/1/21 3:00,14.1,20.5,62.9,,
LH0,2017/1/21 4:00,13.5,20.3,65,,
LH0,2017/1/21 5:00,13.2,20.2,63.4,,
LH0,2017/1/21 6:00,14.6,20.3,60.9,,
LH0,2017/1/21 7:00,16.1,22.3,63.9,,
LH0,2017/1/21 8:00,18.3,27.4,70.8,,
